x,y,nazwa,miasto
20.971010,52.186240,Stacje paliw Orlen,Warszawa
20.893700,52.200010,Stacje paliw Orlen,Warszawa
18.110990,52.807050,Stacje paliw Orlen,Rybitwy
18.526400,53.430260,Stacje paliw Orlen,Wiąg
18.877240,52.972930,Stacje paliw Orlen,Obrowo
17.082290,52.407290,Stacje paliw Orlen,Swarzędz
16.475480,52.386700,Stacje paliw Orlen,Zalesie
17.091637,52.327563,Stacje paliw Orlen,Krzyżowniki
18.379330,54.576340,Stacje paliw Orlen,Rumia
16.674190,54.364200,Stacje paliw Orlen,Sławno
18.453730,54.541530,Stacje paliw Orlen,Gdynia
17.344900,53.658400,Stacje paliw Orlen,Człuchów
17.992610,51.281510,Stacje paliw Orlen,Kępno
16.848350,52.429640,Stacje paliw Orlen,Poznań
22.376600,51.936940,Stacje paliw Orlen,Łuków
16.551200,52.895900,Stacje paliw Orlen,Czarnków
16.966780,52.427060,Stacje paliw Orlen,Poznań
18.062620,51.764180,Stacje paliw Orlen,Kalisz
18.665960,52.206220,Stacje paliw Orlen,Koło
17.554480,52.314300,Stacje paliw Orlen,Września
17.518670,51.956010,Stacje paliw Orlen,Jarocin
16.967080,52.387770,Stacje paliw Orlen,Poznań
20.958400,52.225220,Stacje paliw Orlen,Warszawa
18.119770,52.179680,Stacje paliw Orlen,Osiecza
18.124930,52.179750,Stacje paliw Orlen,Osiecza
20.261050,52.821550,Stacje paliw Orlen,Dreglin
19.389500,51.106770,Stacje paliw Orlen,Stobiecko Szlacheckie
19.055660,49.808270,Stacje paliw Orlen,Bielsko-Biała
19.701340,51.956690,Stacje paliw Orlen,Głowno
23.913590,50.808360,Stacje paliw Orlen,Hrubieszów
22.803790,53.396490,Stacje paliw Orlen,Mońki
15.556760,51.938280,Stacje paliw Orlen,Zielona Góra
14.378380,53.452840,Stacje paliw Orlen,Lubieszyn
17.388040,50.320970,Stacje paliw Orlen,Głuchołazy
19.680910,52.558970,Stacje paliw Orlen,Płock
19.747790,52.538060,Stacje paliw Orlen,Płock
16.157720,51.177660,Stacje paliw Orlen,Legnica
16.273570,52.499330,Stacje paliw Orlen,Pniewy
18.401960,52.892920,Stacje paliw Orlen,Gniewkowo
17.948350,52.650030,Stacje paliw Orlen,Mogilno
19.509140,51.795980,Stacje paliw Orlen,Łódz
17.071520,50.784680,Stacje paliw Orlen,Strzelin
19.932412,50.017917,Stacje paliw Orlen,Kraków
20.060986,53.691305,Stacje paliw Orlen,Idzbark
19.011040,54.038090,Stacje paliw Orlen,Malbork
19.154990,50.718560,Stacje paliw Orlen,Poczesna
16.740970,53.717470,Stacje paliw Orlen,Marcelin
18.685760,54.178770,Stacje paliw Orlen,Pszczółki
19.759910,50.079340,Stacje paliw Orlen,Morawica
19.774820,50.081400,Stacje paliw Orlen,Aleksandrowice
22.564180,51.199590,Stacje paliw Orlen,Lublin
15.117220,52.055310,Stacje paliw Orlen,Krosno Odrzańskie
21.349370,51.871850,Stacje paliw Orlen,Wilga
20.910810,53.008530,Stacje paliw Orlen,Przasnysz
21.245080,52.222460,Stacje paliw Orlen,Warszawa
21.570290,53.088650,Stacje paliw Orlen,Ostrołęka
21.594820,53.094630,Stacje paliw Orlen,Ostrołęka
20.897210,52.239000,Stacje paliw Orlen,Warszawa
